CHANNEL_KEY	SITE_KEY	COUNTRY_CODE	POSTCODE
8	FREAIY	FR	92500
8	FREAIZ	FR	30200
8	FREAJD	FR	75018
8	FREAJP	FR	59193
8	FREAJW	FR	29780
8	FREAKC	FR	27150
8	FREAKF	FR	30400
8	FREAKG	FR	34200
8	FREAKH	FR	74130
8	FREAKS	FR	76420
8	FREAKX	FR	34000
8	FREAKY	FR	47200
8	FREAL4	FR	63700
8	FREAL9	FR	56270
8	FREALP	FR	63260
8	FREAM2	FR	57100
8	FREAM3	FR	93100
8	FREAMD	FR	26110
8	FREAME	FR	72120
8	FREAMK	FR	62217
8	FREAMP	FR	56190
8	FREAMQ	FR	42600
8	FREAN3	FR	88230
8	FREAN6	FR	74100
8	FREANX	FR	74100
8	FREAP1	FR	13530
8	FREAP4	FR	36100
8	FREAP6	FR	31700
8	FREAPA	FR	13920
8	FREAPD	FR	71200
8	FREAQ2	FR	24170
8	FREAQ3	FR	09200
8	FREAQR	FR	72000
8	FREASC	FR	77000
8	FREASE	FR	77470
8	FREASF	FR	17440
8	FREASG	FR	27120
8	FREASP	FR	80230
8	FREASY	FR	33980
8	FREATB	FR	62610
8	FREATR	FR	42500
8	FREAUA	FR	87000
8	FREAUB	FR	03800
8	FREAUP	FR	31770
8	FREAUU	FR	50500
8	FREAVB	FR	72000
8	FREAVG	FR	59300
8	FREAVH	FR	06300
8	FREAVM	FR	59730
8	FREAVP	FR	45500
8	FREAVS	FR	59113
8	FREAVT	FR	59136
8	FREAVV	FR	61200
8	FREAVX	FR	50250
8	FREAVY	FR	56230
8	FREAVZ	FR	45100
8	FREAWA	FR	77150
8	FREAWB	FR	77120
8	FREAWE	FR	31390
8	FREAWF	FR	31790
8	FREAWH	FR	71250
8	FREAWI	FR	95180
8	FREAWK	FR	91210
8	FREAWN	FR	28150
8	FREAWQ	FR	45000
8	FREAWR	FR	56500
8	FREAWT	FR	14390
8	FREAWU	FR	33700
8	FREAWW	FR	27130
8	FREAWX	FR	64260
8	FREAWY	FR	40700
8	FREAXA	FR	64240
8	FREAXG	FR	50700
8	FREAXH	FR	78200
8	FREAXI	FR	64120
8	FREAXL	FR	60120
8	FREAXM	FR	17000
8	FREAXN	FR	82170
8	FREAXO	FR	31200
8	FREAXT	FR	59300
8	FREAY7	FR	33000
8	FREB02	FR	83260
8	FREB03	FR	33670
8	FREB05	FR	60360
8	FREB12	FR	76560
8	FREB13	FR	76480
8	FREB17	FR	84320
8	FREB18	FR	75016
8	FREB34	FR	31270
8	FREB35	FR	32200
8	FREB36	FR	76110
8	FREB37	FR	76280
8	FREB38	FR	46300
8	FREB39	FR	23230
8	FREB40	FR	05600
8	FREB41	FR	33470
8	FREB45	FR	76600
8	FREB48	FR	76600
8	FREB54	FR	83400
8	FREB55	FR	66130
8	FREB56	FR	45140
8	FREB57	FR	14230
8	FREB63	FR	37130
8	FREB64	FR	66740
8	FREB65	FR	83980
8	FREB66	FR	62790
8	FREB68	FR	09210
8	FREB69	FR	11200
8	FREB79	FR	69000
8	FREB81	FR	45330
8	FREB84	FR	34340
8	FREB85	FR	13012
8	FREB86	FR	48100
8	FREB88	FR	78550
8	FREB89	FR	15200
8	FREB90	FR	20167
8	FREB91	FR	32300
8	FREB94	FR	63650
8	FREBB3	FR	05100
8	FREBB4	FR	06150
8	FREBB7	FR	31470
8	FREBB8	FR	06400
8	FREBBA	FR	60320
8	FREBBB	FR	51130
8	FREBBE	FR	14500
8	FREBBH	FR	90000
8	FREBBI	FR	08110
8	FREBBJ	FR	62460
8	FREBBL	FR	08700
8	FREBBM	FR	59890
8	FREBBT	FR	10200
8	FREBBV	FR	78840
8	FREBBX	FR	76410
8	FREBBZ	FR	50200
8	FREBC1	FR	65170
8	FREBC2	FR	45240
8	FREBC3	FR	28240
8	FREBC6	FR	86220
8	FREBCA	FR	27240
8	FREBCC	FR	29200
8	FREBCE	FR	37110
8	FREBCK	FR	13300
8	FREBD2	FR	32110
8	FREC01	FR	92120
8	FREC11	FR	44100
8	FREC12	FR	76330
8	FREC17	FR	28210
8	FREC23	FR	83190
8	FREC25	FR	06650
8	FREC26	FR	14290
8	FREC29	FR	14150
8	FREC32	FR	34250
8	FREC33	FR	75018
8	FREC35	FR	75017
8	FREC36	FR	75014
8	FREC38	FR	75009
8	FREC40	FR	75015
8	FREC41	FR	75006
8	FREC42	FR	75013
8	FREC43	FR	75018
8	FREC45	FR	31140
8	FREC48	FR	84120
8	FREC50	FR	34120
8	FREC55	FR	56240
